url,kind,words,imgs,real,art,srcs
/almanac/rental-disasters,almanac,1870,1,0,1,almanac-rental-disasters.webp
/almanac/the-fused-suit-bubble,almanac,1738,1,0,1,almanac-the-fused-suit-bubble.webp
/almanac/the-upsell,almanac,1683,1,0,1,almanac-the-upsell.webp
/almanac/the-fit-that-changed-him,almanac,1633,1,0,1,almanac-the-fit-that-changed-him.webp
/almanac/the-last-minute-panic,almanac,1629,1,0,1,almanac-the-last-minute-panic.webp
/almanac/fathers-and-sons,almanac,1626,1,0,1,almanac-fathers-and-sons.webp
/almanac/the-wedding-saved,almanac,1626,1,0,1,almanac-the-wedding-saved.webp
/almanac/quiet-triumphs,almanac,1542,1,0,1,almanac-quiet-triumphs.webp
/almanac/the-online-gamble,almanac,1514,1,0,1,almanac-the-online-gamble.webp
/faq,commercial,3573,0,0,0,
/reviews,commercial,817,0,0,0,
/book,commercial,528,0,0,0,
/process,commercial,508,0,0,0,
/locations,commercial,474,0,0,0,
/journal,commercial,344,0,0,0,
/review-card,commercial,282,0,0,0,
/design,commercial,231,0,0,0,
/suit-builder,commercial,165,0,0,0,
/review,commercial,131,0,0,0,
/kids-teen-suits,commercial,1023,1,0,1,garment-kids-teen.webp
/outerwear,commercial,1016,1,0,1,garment-outerwear.webp
/short-sleeve-shirts,commercial,1006,1,0,1,garment-short-sleeve.webp
/vegan,commercial,994,1,0,1,garment-vegan.webp
/casual,commercial,983,1,0,1,garment-casual.webp
/gift,commercial,794,2,0,2,gift-certificate.webp;gift-hero.webp
/about,commercial,516,2,2,0,sam-consult.webp;sam-portrait.webp
/fabrics,commercial,3046,3,3,0,cloth-books-reda.webp;cloth-choosing-hands.webp;cloth-library-shelves.webp
/custom,commercial,1408,4,3,1,custom-wardrobe.webp;sam-collar.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp
/trousers,commercial,1073,4,3,1,f090.webp;garment-trousers.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp
/kapotas,commercial,1043,4,3,1,f142.webp;garment-kapotas.webp;sam-collar.webp;sam-red-jacket.webp
/womens,commercial,965,4,3,1,f104.webp;garment-womens.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp
/business,commercial,1640,5,4,1,business-lining.webp;sam-collar.webp;sam-consult.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp
/suits,commercial,1501,5,4,1,f021.webp;garment-suit.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp;sam-red-jacket.webp
/tuxedos,commercial,1306,5,4,1,f001.webp;garment-tuxedo.webp;sam-collar.webp;sam-fitting-cuff.webp;sam-red-jacket.webp
/linings,commercial,1258,5,3,2,business-lining.webp;f024.webp;sam-consult.webp;sam-fitting-cuff.webp
/dress-shirts,commercial,1245,5,4,1,f003.webp;garment-dress-shirt.webp;sam-collar.webp;sam-fitting-cuff.webp;sam-fitting-shoulder.webp
/traditional,commercial,1174,5,5,0,chosson-chuppah.webp;f142.webp;sam-collar.webp;sam-consult.webp;sam-fitting-shoulder.webp
/almanac,commercial,345,9,0,9,almanac-fathers-and-sons.webp;almanac-quiet-triumphs.webp;almanac-rental-disasters.webp;almanac-the-fit-that-changed-him.webp;almanac-the-fused-suit-bubble.webp;almanac-the-last-minute-panic.webp;almanac-the-online-gamble.webp;almanac-the-upsell.webp;almanac-the-wedding-saved.webp
/guides,commercial,3342,11,0,11,guide-bespoke.webp;guide-business.webp;guide-care.webp;guide-cloth.webp;guide-fit.webp;guide-gifting.webp;guide-service.webp;guide-traditional.webp;guide-weddings.webp
/wedding,commercial,2199,13,4,9,business-lining.webp;custom-wardrobe.webp;garment-dress-shirt.webp;garment-outerwear.webp;sam-fitting-cuff.webp;wedding-boutonniere.webp;wedding-couple-garden.webp;wedding-father-son.webp;wedding-first-dance.webp;wedding-groom.webp;wedding-groomsmen.webp;wedding-morning-cufflinks.webp;wedding-tuxedo.webp
/,commercial,1452,37,3,34,1-measure.webp;2-shirt.webp;3-jacket.webp;4-trousers.webp;5-complete.webp;business-lining.webp;custom-wardrobe.webp;garment-casual.webp;garment-dress-shirt.webp;garment-kapotas.webp;garment-kids-teen.webp;garment-outerwear.webp;garment-short-sleeve.webp;garment-suit.webp;garment-trousers.webp;garment-tuxedo.webp;garment-vegan.webp;garment-womens.webp;gift-hero.webp;house-business.webp;house-shirts.webp;house-traditional.webp;house-wedding.webp;sam-fitting-shoulder.webp;sam-outdoor.webp;sam-red-jacket.webp;wedding-groom.webp
/guides/corporate-gifting-a-suit,guide,1166,1,1,0,sam-avatar.webp
/guides/fathers-day-gift-a-suit,guide,1144,1,1,0,sam-avatar.webp
/guides/gift-a-suit-to-your-son,guide,1129,1,1,0,sam-avatar.webp
/guides/graduation-gift-first-suit,guide,1121,1,1,0,sam-avatar.webp
/guides/milestone-birthday-suit-gift,guide,1108,1,1,0,sam-avatar.webp
/guides/new-job-suit-gift,guide,1095,1,1,0,sam-avatar.webp
/guides/is-a-custom-suit-a-good-gift,guide,1088,1,1,0,sam-avatar.webp
/guides/how-to-gift-a-suit-without-his-size,guide,1080,1,1,0,sam-avatar.webp
/guides/gift-a-custom-suit,guide,1058,1,1,0,sam-avatar.webp
/guides/gift-a-suit-to-your-son-in-law,guide,1052,1,1,0,sam-avatar.webp
/guides/how-a-suit-gift-certificate-works,guide,1037,1,1,0,sam-avatar.webp
/guides/grooms-gift-a-suit,guide,1031,1,1,0,sam-avatar.webp
/guides/gift-for-the-man-who-has-everything,guide,1025,1,1,0,sam-avatar.webp
/guides/gift-your-husband-a-suit,guide,1025,1,1,0,sam-avatar.webp
/guides/gift-the-interview-suit,guide,975,1,1,0,sam-avatar.webp
/guides/your-first-fitting,guide,834,1,1,0,sam-avatar.webp
/guides/dressing-for-senior-management,guide,2576,2,1,1,guide-business.webp;sam-avatar.webp
/guides/how-to-tell-a-good-suit,guide,2482,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/dressing-for-medicine,guide,2448,2,1,1,guide-business.webp;sam-avatar.webp
/guides/dressing-for-finance,guide,2445,2,1,1,guide-business.webp;sam-avatar.webp
/guides/dressing-for-sales,guide,2445,2,1,1,guide-business.webp;sam-avatar.webp
/guides/dressing-for-entrepreneurs,guide,2444,2,1,1,guide-business.webp;sam-avatar.webp
/guides/dressing-for-real-estate,guide,2441,2,1,1,guide-business.webp;sam-avatar.webp
/guides/dressing-for-law,guide,2346,2,1,1,guide-business.webp;sam-avatar.webp
/guides/off-the-rack-vs-custom,guide,2286,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/how-many-suits-should-a-man-own,guide,2275,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/your-first-real-suit-25-year-old,guide,2269,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/made-to-measure-vs-bespoke,guide,2258,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/architect-creative-professional-style,guide,2245,2,1,1,guide-business.webp;sam-avatar.webp
/guides/fully-canvassed-vs-fused,guide,2240,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/how-much-should-a-suit-cost,guide,2232,2,1,1,guide-bespoke.webp;sam-avatar.webp
/guides/management-consultant-dress-code,guide,2198,2,1,1,guide-business.webp;sam-avatar.webp
/guides/academic-lecture-to-boardroom,guide,2177,2,1,1,guide-business.webp;sam-avatar.webp
/guides/how-politicians-dress,guide,2173,2,1,1,guide-business.webp;sam-avatar.webp
/guides/how-startup-founders-dress,guide,2137,2,1,1,guide-business.webp;sam-avatar.webp
/guides/accountant-dress-code,guide,2123,2,1,1,guide-business.webp;sam-avatar.webp
